nm	lamp	intensity
782	testing	517.2033333
783	testing	515.82
784	testing	516.13
785	testing	516.9375
786	testing	513.9466667
787	testing	510.69
788	testing	513.8033333
789	testing	516.9825
790	testing	516.5533333
791	testing	515.62
792	testing	515.8866667
793	testing	516.365
794	testing	518.67
795	testing	517.7433333
796	testing	514.7233333
797	testing	518.5175
798	testing	518.3233333
799	testing	517.75
800	testing	521.9325
